found_at,is_viable,review_status,review_reason,tier,zip_code,market_priority,market_region,market_score,market_strategies,risk_flags,growth_score,growth_signals,reasons,id,address,normalized_address,lat,lng,distance_km,land_price,lot_size_sqft,lot_size_acres,price_per_acre,arv,arv_source,arv_comps_count,arv_confidence,total_cost,purchase_closing_cost,contingency_cost,site_prep_cost,impact_fees,profit,margin,profit_stress,margin_stress,rent_monthly,noi_annual,cap_rate,dscr,cash_on_cash,sensitivity_top,flood_zone,land_to_total_investment,land_to_arv,zoning,url
2026-07-02T12:36:12+00:00,no,reprovado,nao passou nos filtros financeiros,Médio padrão,32726,fora da tese principal,,0.0,,ZIP fora das teses priorizadas no relatório,,,"• segmento: Médio padrão | • mercado: fora da tese principal | ⚠ ZIP fora das teses priorizadas no relatório | ✓ ARV por comps RentCast (10 comps) | ✗ margem -43.0% < alvo 18% | ✓ terreno 11.0% do investimento total ≤ 27% | ✓ lote 8,712 sqft ≥ 5,000 | ✗ zoneamento desconhecido; exige conferência antes do alerta | status fonte: Active | visto pela fonte ha 2.9h | listado ha 6.5d | MLS: StellarMLS G5114249 | ✓ FEMA flood zone X (AREA OF MINIMAL FLOOD HAZARD)","209-W-Badger-Ave,-Eustis,-FL-32726","209 W Badger Ave, Eustis, FL 32726",209 W BADGER AVE EUSTIS FL 32726,28.846744,-81.688069,45.7,61000,,,,386000,rentcast_avm,10,,552110,1220,25410,,,-166110,-0.430,,,,,,,,,,0.110,0.158,,
2026-07-02T12:36:12+00:00,no,reprovado,nao passou nos filtros financeiros,Baixo padrão,32757,fora da tese principal,,0.0,,ZIP fora das teses priorizadas no relatório,,,"• segmento: Baixo padrão | • mercado: fora da tese principal | ⚠ ZIP fora das teses priorizadas no relatório | ✓ ARV por comps RentCast (10 comps) | ✓ terreno US$ 16,000 ≤ teto US$ 50,000 | ✓ margem 31.8% ≥ alvo 18% | ✓ terreno 6.3% do investimento total ≤ 27% | ✗ lote 4,792 sqft < mínimo 5,000 | ✗ zoneamento desconhecido; exige conferência antes do alerta | status fonte: Active | visto pela fonte ha 2.9h | listado ha 6.5d | MLS: FLGulfCoastMLS 2026027873 | ✓ FEMA flood zone X (AREA OF MINIMAL FLOOD HAZARD)","21-19-27-0100-000-14400-Sunrise-Blvd,-Mount-Dora,-FL-32757","21-19-27-0100-000-14400 Sunrise Blvd, Mount Dora, FL 32757",21-19-27-0100-000-14400 SUNRISE BLVD MOUNT DORA FL 32757,28.816834,-81.622122,39.0,16000,,,,375000,rentcast_avm,10,,255690,320,11760,,,119310,0.318,,,,,,,,,,0.063,0.043,,
2026-07-02T12:36:12+00:00,no,radar_zoneamento_pendente,numeros bons; falta confirmar zoneamento,Baixo padrão,32736,fora da tese principal,,0.0,,ZIP fora das teses priorizadas no relatório,,,"• segmento: Baixo padrão | • mercado: fora da tese principal | ⚠ ZIP fora das teses priorizadas no relatório | ✓ ARV por comps RentCast (10 comps) | ✓ terreno US$ 50,000 ≤ teto US$ 50,000 | ✓ margem 30.3% ≥ alvo 18% | ✓ terreno 16.8% do investimento total ≤ 27% | ✓ lote 43,560 sqft ≥ 5,000 | ✗ zoneamento desconhecido; exige conferência antes do alerta | status fonte: Active | visto pela fonte ha 2.9h | listado ha 6.5d | MLS: StellarMLS O6420284 | ✓ FEMA flood zone X (AREA OF MINIMAL FLOOD HAZARD)","Banyan-St,-Eustis,-FL-32736","Banyan St, Eustis, FL 32736",,28.972654,-81.44944,48.8,50000,,,,426000,rentcast_avm,10,,297000,1000,11760,,,129000,0.303,,,,,,,,,,0.168,0.117,,
2026-07-02T12:36:12+00:00,no,reprovado,nao passou nos filtros financeiros,Baixo padrão,34788,fora da tese principal,,0.0,,ZIP fora das teses priorizadas no relatório,,,"• segmento: Baixo padrão | • mercado: fora da tese principal | ⚠ ZIP fora das teses priorizadas no relatório | ✓ ARV por comps RentCast (10 comps) | ✓ terreno US$ 45,000 ≤ teto US$ 50,000 | ✗ margem 3.1% < alvo 18% | ✓ terreno 16.0% do investimento total ≤ 27% | ✓ lote 11,761 sqft ≥ 5,000 | ✗ zoneamento desconhecido; exige conferência antes do alerta | status fonte: Active | visto pela fonte ha 3.1h | listado ha 5.5d | MLS: StellarMLS G5114122 | ✓ FEMA flood zone X (AREA OF MINIMAL FLOOD HAZARD)","Linda-Dr,-Leesburg,-FL-34788","Linda Dr, Leesburg, FL 34788",,28.838305,-81.778549,51.3,45000,,,,291000,rentcast_avm,10,,282000,900,11760,,,9000,0.031,,,,,,,,,,0.160,0.155,,
2026-07-02T12:36:12+00:00,no,reprovado,nao passou nos filtros financeiros,Baixo padrão,32168,fora da tese principal,,0.0,,ZIP fora das teses priorizadas no relatório,,,"• segmento: Baixo padrão | • mercado: fora da tese principal | ⚠ ZIP fora das teses priorizadas no relatório | ✓ ARV por comps RentCast (10 comps) | ✓ terreno US$ 5,000 ≤ teto US$ 50,000 | ✓ margem 32.7% ≥ alvo 18% | ✓ terreno 2.1% do investimento total ≤ 27% | ✗ lote 1,307 sqft < mínimo 5,000 | ✗ zoneamento desconhecido; exige conferência antes do alerta | status fonte: Active | visto pela fonte ha 3.3h | listado ha 6.5d | MLS: BeachesMLS B26045684 | ✓ FEMA flood zone X (0.2 PCT ANNUAL CHANCE FLOOD HAZARD)","Josie-St,-New-Smyrna-Beach,-FL-32168","Josie St, New Smyrna Beach, FL 32168",,29.029366,-80.930288,69.9,5000,,,,360000,rentcast_avm,10,,242430,100,11760,,,117570,0.327,,,,,,,,,,0.021,0.014,,
2026-07-02T12:36:12+00:00,no,reprovado,nao passou nos filtros financeiros,Médio padrão,32720,Monitorar,Apopka / DeBary / DeLand / SunRail-TOD,6.5,land banking; TOD; townhomes; workforce rentals,horizonte mais longo; checar absorcao; checar utilities e access roads; FEMA flood zone AE / SFHA,,,"• segmento: Médio padrão | • mercado: Monitorar - Apopka / DeBary / DeLand / SunRail-TOD (32720) | ⚠ horizonte mais longo | ⚠ checar absorcao | ⚠ checar utilities e access roads | ✓ ARV por comps RentCast (10 comps) | ✗ margem -17.2% < alvo 18% | ✓ terreno 18.9% do investimento total ≤ 27% | ✓ lote 22,651 sqft ≥ 5,000 | ✗ zoneamento desconhecido; exige conferência antes do alerta | status fonte: Active | visto pela fonte ha 3.3h | listado ha 6.5d | MLS: StellarMLS V4949873 | ⚠ FEMA flood zone AE / SFHA","2263-Hontoon-Rd,-Deland,-FL-32720","2263 Hontoon Rd, Deland, FL 32720",2263 HONTOON RD DELAND FL 32720,28.978333,-81.354823,49.0,118000,,,,534000,rentcast_avm,10,,625740,2360,25410,,,-91740,-0.172,,,,,,,,,,0.189,0.221,,
2026-07-02T12:36:12+00:00,no,reprovado,nao passou nos filtros financeiros,Alto padrão,32168,fora da tese principal,,0.0,,ZIP fora das teses priorizadas no relatório,,,"• segmento: Alto padrão | • mercado: fora da tese principal | ⚠ ZIP fora das teses priorizadas no relatório | ✓ ARV por comps RentCast (10 comps) | ✗ margem -115.1% < alvo 22% | ✗ terreno 49.3% do investimento total > 27% | ✓ lote 12,632 sqft ≥ 12,000 | ✗ zoneamento desconhecido; exige conferência antes do alerta | ⚠ segmento exige análise manual de localização/bairro antes de virar alerta | status fonte: Active | visto pela fonte ha 3.7h | listado ha 5.5d | MLS: StellarMLS O6420440 | ✓ FEMA flood zone X (0.2 PCT ANNUAL CHANCE FLOOD HAZARD)","622-N-Riverside-Dr,-New-Smyrna-Beach,-FL-32168","622 N Riverside Dr, New Smyrna Beach, FL 32168",622 N RIVERSIDE DR NEW SMYRNA BEACH FL 32168,29.032872,-80.926913,70.5,1495000,,,,1410000,rentcast_avm,10,,3032250,29900,70000,,,-1622250,-1.151,,,,,,,,,,0.493,1.060,,
2026-07-02T12:36:12+00:00,no,radar_zoneamento_pendente,numeros bons; falta confirmar zoneamento,Baixo padrão,32724,Monitorar,Apopka / DeBary / DeLand / SunRail-TOD,6.5,land banking; TOD; townhomes; workforce rentals,horizonte mais longo; checar absorcao; checar utilities e access roads; FEMA flood zone A / SFHA,,,"• segmento: Baixo padrão | • mercado: Monitorar - Apopka / DeBary / DeLand / SunRail-TOD (32724) | ⚠ horizonte mais longo | ⚠ checar absorcao | ⚠ checar utilities e access roads | ✓ ARV por comps RentCast (10 comps) | ✓ terreno US$ 22,900 ≤ teto US$ 50,000 | ✓ margem 21.2% ≥ alvo 18% | ✓ terreno 8.8% do investimento total ≤ 27% | ✓ lote 10,890 sqft ≥ 5,000 | ✗ zoneamento desconhecido; exige conferência antes do alerta | status fonte: Active | visto pela fonte ha 3.7h | listado ha 4.5d | MLS: DaytonaBeachArea 1228034 | ⚠ FEMA flood zone A / SFHA","2301-10th-Ave,-Deland,-FL-32724","2301 10th Ave, Deland, FL 32724",2301 10TH AVE DELAND FL 32724,29.06967,-81.246003,60.5,22900,,,,330000,rentcast_avm,10,,260199,458,11760,,,69801,0.212,,,,,,,,,,0.088,0.069,,
2026-07-02T12:36:12+00:00,no,reprovado,nao passou nos filtros financeiros,Alto padrão,32169,fora da tese principal,,0.0,,ZIP fora das teses priorizadas no relatório; FEMA flood zone AE / SFHA,,,"• segmento: Alto padrão | • mercado: fora da tese principal | ⚠ ZIP fora das teses priorizadas no relatório | ✓ ARV por comps RentCast (10 comps) | ✗ margem -54.5% < alvo 22% | ✗ terreno 55.5% do investimento total > 27% | ✓ lote 13,504 sqft ≥ 12,000 | ✗ zoneamento desconhecido; exige conferência antes do alerta | ⚠ segmento exige análise manual de localização/bairro antes de virar alerta | status fonte: Active | visto pela fonte ha 3.7h | listado ha 4.5d | MLS: StellarMLS O6420137 | ⚠ FEMA flood zone AE / SFHA","East-Cir,-New-Smyrna-Beach,-FL-32169","East Cir, New Smyrna Beach, FL 32169",,29.03825072,-80.91049035,71.9,2100000,,,,2452000,rentcast_avm,10,,3787160,42000,70000,,,-1335160,-0.545,,,,,,,,,,0.555,0.856,,
2026-07-02T12:36:12+00:00,no,reprovado,nao passou nos filtros financeiros,Médio padrão,32763,fora da tese principal,,0.0,,ZIP fora das teses priorizadas no relatório,,,"• segmento: Médio padrão | • mercado: fora da tese principal | ⚠ ZIP fora das teses priorizadas no relatório | ✓ ARV por comps RentCast (10 comps) | ✗ margem -33.9% < alvo 18% | ✓ terreno 13.1% do investimento total ≤ 27% | ✓ lote 25,265 sqft ≥ 5,000 | ✗ zoneamento desconhecido; exige conferência antes do alerta | status fonte: Active | visto pela fonte ha 3.7h | listado ha 4.5d | MLS: StellarMLS TB8523310 | ✓ FEMA flood zone X (AREA OF MINIMAL FLOOD HAZARD)","2980-N-Sparkman-Ave,-Orange-City,-FL-32763","2980 N Sparkman Ave, Orange City, FL 32763",2980 N SPARKMAN AVE ORANGE CITY FL 32763,28.971692,-81.305927,48.7,75000,,,,426000,rentcast_avm,10,,570450,1500,25410,,,-144450,-0.339,,,,,,,,,,0.131,0.176,,
